User/index###5b1754d09398f###2018-07-08 11:29:19###{"code":"0818021H0UTLMj2wdK0H0LSR0H08021G"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"userid":"37","position":"1","person":"1","company":"1"}}###{"code":"0818021H0UTLMj2wdK0H0LSR0H08021G"}###null###null###null###null
User/getinfo###5b2dbbb04457b###2018-07-08 11:29:21###{"userid":"37","username":"XF","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/DYAIOgq83eq3z4DAGCHf2C3hMAw9OREXVkPSP4EwnOSH1NNLiagalDajTWr6IzmgfsbTvbl8xQmGSTpH18axhTg\/132"}###null###null###V2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":"\u83b7\u53d6\u6210\u529f"}###{"userid":"37","username":"XF","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/DYAIOgq83eq3z4DAGCHf2C3hMAw9OREXVkPSP4EwnOSH1NNLiagalDajTWr6IzmgfsbTvbl8xQmGSTpH18axhTg\/132"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-08 11:29:23###{"lng":"114.56903","lat":"38.04659"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u91d1\u8c08\u56fa\u745e\u57ce\u82b1\u56edA\u533a"}}###{"lng":"114.56903","lat":"38.04659"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-08 11:29:24###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"http:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054323.jpg","linkurl":""},{"photo":"http:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060833.jpg","linkurl":""}],"recommend":[{"id":"25","title":"\u62db\u8058\u524d\u53f0","wage":"100","end_date":"2018-07-20","payment_type":"3","area":"\u88d5\u534e\u533a","type":"\u6708\u7ed3"},{"id":"26","title":"\u62db\u5efa\u7b51\u5de5\u7a0b\u5e08","wage":"150","end_date":"2018-08-03","payment_type":"3","area":"\u88d5\u534e\u533a","type":"\u6708\u7ed3"},{"id":"34","title":"\u4e8c\u9f99\u63a5\u5355","wage":"250","end_date":"2018-07-10","payment_type":"2","area":"\u88d5\u534e\u533a","type":"\u5468\u7ed3"},{"id":"16","title":"\u62db\u805816","wage":"300","end_date":"2018-07-28","payment_type":"2","area":"\u683e\u57ce\u533a","type":"\u5468\u7ed3"}],"hot":[{"id":"16","title":"\u62db\u805816","wage":"300"},{"id":"25","title":"\u62db\u8058\u524d\u53f0","wage":"100"}]}}###{"city":"130100","position":"1"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-07-08 11:30:42###{"position":"1","userid":"37"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u4ed8"}}###{"position":"1","userid":"37"}###null###null###null###null
Personcenter/switchidentity###5b31e8299f2b6###2018-07-08 11:31:31###{"userid":"37","identity":"2"}###null###null######null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"msg":"\u5207\u6362\u6210\u529f"}}###{"userid":"37","identity":"2"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-08 11:31:32###{"lng":"114.56903","lat":"38.04659"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u91d1\u8c08\u56fa\u745e\u57ce\u82b1\u56edA\u533a"}}###{"lng":"114.56903","lat":"38.04659"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-08 11:31:32###{"city":"130100","position":"2"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"http:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054404.jpg","linkurl":""},{"photo":"http:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060844.jpg","linkurl":""}],"recommend":[{"rid":"32","title":"\u627e\u4e00\u4e2a\u524d\u53f0\u5de5\u4f5c","wage":"50","end_date":"2018-08-04","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"37","title":"\u5356\u8863\u670d\u7684","wage":"50","end_date":"2018-12-05","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"38","title":"\u627e\u4e00\u4e2a\u9500\u552e\u7684\u5de5\u4f5c","wage":"100","end_date":"2018-08-06","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"41","title":"\u804c\u4e1a\u917f\u9152\u5e08","wage":"130","end_date":"2019-07-20","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"}],"hot":[{"rid":"32","title":"\u627e\u4e00\u4e2a\u524d\u53f0\u5de5\u4f5c","wage":"50"},{"rid":"34","title":"\u627e\u5de5\u4f5c","wage":"200"}]}}###{"city":"130100","position":"2"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-07-08 11:31:33###{"position":"2","userid":"37"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u4ed8\u79d1\u6280"}}###{"position":"2","userid":"37"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-08 11:31:34###{"lng":"114.57051","lat":"38.04579"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u4f73\u6cf0\u7cbe\u54c1\u9152\u5e97"}}###{"lng":"114.57051","lat":"38.04579"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-08 11:31:35###{"city":"130100","position":"2"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"http:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054404.jpg","linkurl":""},{"photo":"http:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060844.jpg","linkurl":""}],"recommend":[{"rid":"32","title":"\u627e\u4e00\u4e2a\u524d\u53f0\u5de5\u4f5c","wage":"50","end_date":"2018-08-04","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"37","title":"\u5356\u8863\u670d\u7684","wage":"50","end_date":"2018-12-05","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"38","title":"\u627e\u4e00\u4e2a\u9500\u552e\u7684\u5de5\u4f5c","wage":"100","end_date":"2018-08-06","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"41","title":"\u804c\u4e1a\u917f\u9152\u5e08","wage":"130","end_date":"2019-07-20","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"}],"hot":[{"rid":"32","title":"\u627e\u4e00\u4e2a\u524d\u53f0\u5de5\u4f5c","wage":"50"},{"rid":"34","title":"\u627e\u5de5\u4f5c","wage":"200"}]}}###{"city":"130100","position":"2"}###null###null###null###null
