User/index###5b1754d09398f###2018-07-14 13:05:29###{"code":"011LE4h4297pCN0iFjh42f6ph42LE4hR"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"userid":"120","position":1,"person":0,"company":0}}###{"code":"011LE4h4297pCN0iFjh42f6ph42LE4hR"}###null###null###null###null
User/getinfo###5b2dbbb04457b###2018-07-14 13:05:33###{"userid":"120","username":"\u5feb\u4e50\u4eba\u751f","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/Q0j4TwGTfTLdXKagYlS0LrND9boeNpoxbVkictL42nFoznWvYLk92gwgnJVviaT3kG8nEia2QQfibf3NaSCtpCDiayg\/132"}###null###null###V2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":"\u83b7\u53d6\u6210\u529f"}###{"userid":"120","username":"\u5feb\u4e50\u4eba\u751f","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/Q0j4TwGTfTLdXKagYlS0LrND9boeNpoxbVkictL42nFoznWvYLk92gwgnJVviaT3kG8nEia2QQfibf3NaSCtpCDiayg\/132"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-14 13:05:35###{"lng":"114.554016","lat":"38.010155"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u5317\u56fd\u5546\u57ce\u76ca\u4e1c\u767e\u8d27\u8d2d\u7269\u4e2d\u5fc3"}}###{"lng":"114.554016","lat":"38.010155"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-14 13:05:36###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054323.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060833.jpg","linkurl":""}],"recommend":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150","end_date":"2026-07-12","payment_type":"3","area":"\u85c1\u57ce\u533a","type":"\u6708\u7ed3"},{"id":"41","title":"\u53d1\u65f6\u8fbe","wage":"20","end_date":"2018-08-12","payment_type":"1","area":"\u683e\u57ce\u533a","type":"\u65e5\u7ed3"},{"id":"37","title":"\u5566\u5566\u5566","wage":"200","end_date":"2018-09-12","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"id":"36","title":"\u62db\u8058\u88c1\u5224","wage":"200","end_date":"2018-08-09","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"}],"hot":[{"id":"14","title":"\u62db\u805814","wage":"100"},{"id":"15","title":"\u62db\u805815","wage":"200"}]}}###{"city":"130100","position":"1"}###null###null###null###null
Index/zhaopininfo###5b28e641e3829###2018-07-14 13:05:45###{"id":"14","userid":"120"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"id":"14","title":"\u62db\u805814","position_id":"9","phone":"\u6c34\u7535\u8d39","wage":"100","payment_type":"3","type":"\u6708\u7ed3","end_date":"2018-07-28","job_start":"2018-06-02","job_end":"2018-06-02","worktime":"8:00\u81f312:00","lng":"114.554672","lat":"38.010387","address":"\u53d1\u5e03\u62db\u8058\u5730\u5740","descript":"\u6c34\u7535\u8d39","realname":"\u4f01\u4e1a\u540d\u5b57","userphoto":"http:\/\/192.168.0.200\/sangong\/Public\/uploads\/ads\/20180605053030.jpg","collect":"0"}}###{"id":"14","userid":"120"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-14 13:48:29###{"lng":"114.2002","lat":"38.00589"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u5e10\u65b9\u5cad\u5927\u6865"}}###{"lng":"114.2002","lat":"38.00589"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-14 13:48:29###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054323.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060833.jpg","linkurl":""}],"recommend":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150","end_date":"2026-07-12","payment_type":"3","area":"\u85c1\u57ce\u533a","type":"\u6708\u7ed3"},{"id":"41","title":"\u53d1\u65f6\u8fbe","wage":"20","end_date":"2018-08-12","payment_type":"1","area":"\u683e\u57ce\u533a","type":"\u65e5\u7ed3"},{"id":"37","title":"\u5566\u5566\u5566","wage":"200","end_date":"2018-09-12","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"id":"36","title":"\u62db\u8058\u88c1\u5224","wage":"200","end_date":"2018-08-09","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"}],"hot":[{"id":"14","title":"\u62db\u805814","wage":"100"},{"id":"15","title":"\u62db\u805815","wage":"200"}]}}###{"city":"130100","position":"1"}###null###null###null###null
Index/zhaopininfo###5b28e641e3829###2018-07-14 13:48:37###{"id":"41","userid":"78"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"id":"41","title":"\u53d1\u65f6\u8fbe","position_id":"1","phone":"564564","wage":"20","payment_type":"1","type":"\u65e5\u7ed3","end_date":"2018-08-12","job_start":"2018-07-12","job_end":"2018-08-12","worktime":"1:03\u81f37:01","lng":"114.64839","lat":"37.90025","address":"\u683e\u57ce\u533a\u653f\u5e9c(\u683e\u6b66\u8def\u5317)","descript":"\u65e0","realname":"\u84dd\u5c71\u79d1\u6280\u6709\u9650\u516c\u53f8","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/PiajxSqBRaEJVJK8sfdicJVziaicEEOf911mvyOXlmPcMZeqs7XQ7CYibAHZszIBI324uX3FRdkiaZNwibzbEJqeURwUg\/132","collect":"0"}}###{"id":"41","userid":"78"}###null###null###null###null
Index/zhaopininfo###5b28e641e3829###2018-07-14 13:48:53###{"id":"36","userid":"78"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"id":"36","title":"\u62db\u8058\u88c1\u5224","position_id":"9","phone":"15030189287","wage":"200","payment_type":"1","type":"\u65e5\u7ed3","end_date":"2018-08-09","job_start":"2018-07-10","job_end":"2018-08-09","worktime":"6:00\u81f323:00","lng":"114.5472791790962","lat":"37.99263796670954","address":"\u84dd\u5c71\u56fd\u9645","descript":"\u62db\u8058\u88c1\u5224","realname":"\u79d1\u6280\u516c\u53f8","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/Q0j4TwGTfTIWlnyOej1xcBz8F6SxKjQHpVW5vHdwKcZNMqybyRDXZCW3T8nh46XO5xyDWY13DgpSmM1kyBXQTA\/132","collect":"0"}}###{"id":"36","userid":"78"}###null###null###null###null
Index/zhaopininfo###5b28e641e3829###2018-07-14 13:49:06###{"id":"37","userid":"78"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"id":"37","title":"\u5566\u5566\u5566","position_id":"1","phone":"12345678901","wage":"200","payment_type":"1","type":"\u65e5\u7ed3","end_date":"2018-09-12","job_start":"2018-07-10","job_end":"2018-08-10","worktime":"6:01\u81f317:00","lng":"114.53122","lat":"38.0061","address":"\u77f3\u5bb6\u5e84\u5e02\u88d5\u534e\u533a\u653f\u5e9c(\u5854\u5357\u8def\u5317)","descript":"\u54c8\u54c8\u597d\u554a\u54e6","realname":"\u84dd\u5c71\u79d1\u6280\u6709\u9650\u516c\u53f8","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/PiajxSqBRaEJVJK8sfdicJVziaicEEOf911mvyOXlmPcMZeqs7XQ7CYibAHZszIBI324uX3FRdkiaZNwibzbEJqeURwUg\/132","collect":"0"}}###{"id":"37","userid":"78"}###null###null###null###null
Index/zhaopininfo###5b28e641e3829###2018-07-14 13:49:17###{"id":"41","userid":"78"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"id":"41","title":"\u53d1\u65f6\u8fbe","position_id":"1","phone":"564564","wage":"20","payment_type":"1","type":"\u65e5\u7ed3","end_date":"2018-08-12","job_start":"2018-07-12","job_end":"2018-08-12","worktime":"1:03\u81f37:01","lng":"114.64839","lat":"37.90025","address":"\u683e\u57ce\u533a\u653f\u5e9c(\u683e\u6b66\u8def\u5317)","descript":"\u65e0","realname":"\u84dd\u5c71\u79d1\u6280\u6709\u9650\u516c\u53f8","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/PiajxSqBRaEJVJK8sfdicJVziaicEEOf911mvyOXlmPcMZeqs7XQ7CYibAHZszIBI324uX3FRdkiaZNwibzbEJqeURwUg\/132","collect":"0"}}###{"id":"41","userid":"78"}###null###null###null###null
