User/index###5b1754d09398f###2018-07-14 16:04:51###{"code":"071h7CRf06OAqA19BHPf01cLRf0h7CRX"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"userid":"37","position":"2","person":"1","company":"1"}}###{"code":"071h7CRf06OAqA19BHPf01cLRf0h7CRX"}###null###null###null###null
User/getinfo###5b2dbbb04457b###2018-07-14 16:04:52###{"userid":"37","username":"XF","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/DYAIOgq83eq3z4DAGCHf2C3hMAw9OREXVkPSP4EwnOSH1NNLiagalDajTWr6IzmgfsbTvbl8xQmGSTpH18axhTg\/132"}###null###null###V2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":"\u83b7\u53d6\u6210\u529f"}###{"userid":"37","username":"XF","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/DYAIOgq83eq3z4DAGCHf2C3hMAw9OREXVkPSP4EwnOSH1NNLiagalDajTWr6IzmgfsbTvbl8xQmGSTpH18axhTg\/132"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-14 16:04:54###{"lng":"114.54727","lat":"37.992176"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u84dd\u5c71\u56fd\u9645"}}###{"lng":"114.54727","lat":"37.992176"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-14 16:04:54###{"city":"130100","position":"2"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054404.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060844.jpg","linkurl":""}],"recommend":[{"rid":"51","title":"\u6559\u7ec3","wage":"300","end_date":"2018-07-22","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"49","title":"\u5e94\u8058","wage":"150","end_date":"2019-07-12","payment_type":"3","area":"\u88d5\u534e\u533a","type":"\u6708\u7ed3"},{"rid":"48","title":"\u6c42\u804c","wage":"200","end_date":"2018-08-12","payment_type":"1","area":"\u9e7f\u6cc9\u533a","type":"\u65e5\u7ed3"},{"rid":"47","title":"\u5e94\u8058","wage":"120","end_date":"2019-07-12","payment_type":"3","area":"\u88d5\u534e\u533a","type":"\u6708\u7ed3"}],"hot":[{"rid":"34","title":"\u627e\u5de5\u4f5c","wage":"200"},{"rid":"38","title":"\u627e\u4e00\u4e2a\u9500\u552e\u7684\u5de5\u4f5c","wage":"100"}]}}###{"city":"130100","position":"2"}###null###null###null###null
Index/jianliinfo###5b28e609a6aa7###2018-07-14 16:05:14###{"rid":"51","userid":"37"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"id":"51","title":"\u6559\u7ec3","position_id":"9","phone":"15131125455","wage":"300","payment_type":"1","type":"\u65e5\u7ed3","end_date":"2018-07-22","lng":"114.6038930254563","lat":"37.98566791273743","address":"\u4e1c\u4eac\u5317\u6751(\u65b9\u6751\u9547\u4e1c\u4eac\u5317\u6751\u6751\u6c11\u59d4\u5458\u4f1a)","description":"\u65e0","realname":"\u5f20\u5efa\u96c4","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/DYAIOgq83epSU9psLspYKYzFayf2edq6OkU1hXhdTN4kVRHGicAM4q3ibqCZeZl3b0yWjFXnYx9XIzqXibQOVUxBg\/132","collect":"0"}}###{"rid":"51","userid":"37"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-07-14 16:05:50###{"position":"2","userid":"37"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u4ed8\u79d1\u6280"}}###{"position":"2","userid":"37"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-14 16:05:55###{"lng":"114.54727","lat":"37.992176"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u84dd\u5c71\u56fd\u9645"}}###{"lng":"114.54727","lat":"37.992176"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-07-14 16:05:55###{"position":"2","userid":"37"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"realname":"\u4ed8\u79d1\u6280"}}###{"position":"2","userid":"37"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-14 16:05:55###{"city":"130100","position":"2"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054404.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060844.jpg","linkurl":""}],"recommend":[{"rid":"51","title":"\u6559\u7ec3","wage":"300","end_date":"2018-07-22","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"49","title":"\u5e94\u8058","wage":"150","end_date":"2019-07-12","payment_type":"3","area":"\u88d5\u534e\u533a","type":"\u6708\u7ed3"},{"rid":"48","title":"\u6c42\u804c","wage":"200","end_date":"2018-08-12","payment_type":"1","area":"\u9e7f\u6cc9\u533a","type":"\u65e5\u7ed3"},{"rid":"47","title":"\u5e94\u8058","wage":"120","end_date":"2019-07-12","payment_type":"3","area":"\u88d5\u534e\u533a","type":"\u6708\u7ed3"}],"hot":[{"rid":"34","title":"\u627e\u5de5\u4f5c","wage":"200"},{"rid":"38","title":"\u627e\u4e00\u4e2a\u9500\u552e\u7684\u5de5\u4f5c","wage":"100"}]}}###{"city":"130100","position":"2"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-14 16:05:56###{"lng":"114.5473","lat":"37.992744"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u84dd\u5c71\u56fd\u9645"}}###{"lng":"114.5473","lat":"37.992744"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-14 16:05:56###{"city":"130100","position":"2"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054404.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060844.jpg","linkurl":""}],"recommend":[{"rid":"51","title":"\u6559\u7ec3","wage":"300","end_date":"2018-07-22","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"rid":"49","title":"\u5e94\u8058","wage":"150","end_date":"2019-07-12","payment_type":"3","area":"\u88d5\u534e\u533a","type":"\u6708\u7ed3"},{"rid":"48","title":"\u6c42\u804c","wage":"200","end_date":"2018-08-12","payment_type":"1","area":"\u9e7f\u6cc9\u533a","type":"\u65e5\u7ed3"},{"rid":"47","title":"\u5e94\u8058","wage":"120","end_date":"2019-07-12","payment_type":"3","area":"\u88d5\u534e\u533a","type":"\u6708\u7ed3"}],"hot":[{"rid":"34","title":"\u627e\u5de5\u4f5c","wage":"200"},{"rid":"38","title":"\u627e\u4e00\u4e2a\u9500\u552e\u7684\u5de5\u4f5c","wage":"100"}]}}###{"city":"130100","position":"2"}###null###null###null###null
