User/index###5b1754d09398f###2018-07-19 22:03:51###{"code":"023pePpL1xYk351A7unL1kxPpL1pePpo"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"userid":"25","position":"1","person":"0","company":"0"}}###{"code":"023pePpL1xYk351A7unL1kxPpL1pePpo"}###null###null###null###null
User/getinfo###5b2dbbb04457b###2018-07-19 22:03:52###{"userid":"25","username":"\u5149","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/ticuJzZXTleczRmMXjrlJT595oNeFRBGPd6MTicMuGiaEIUxAownw1VXlNovgUhzO0M7MmDmrlS4Y2lnrZCRToWgA\/132"}###null###null###V2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":"\u83b7\u53d6\u6210\u529f"}###{"userid":"25","username":"\u5149","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/ticuJzZXTleczRmMXjrlJT595oNeFRBGPd6MTicMuGiaEIUxAownw1VXlNovgUhzO0M7MmDmrlS4Y2lnrZCRToWgA\/132"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-19 22:03:54###{"lng":"114.54631","lat":"38.028244"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u4e07\u8fbe\u5e7f\u573aB2\u5317\u533a"}}###{"lng":"114.54631","lat":"38.028244"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-19 22:03:54###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054323.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060833.jpg","linkurl":""}],"recommend":[{"id":"47","title":"\u62db\u53d1\u5355\u5ba3\u4f20","wage":"80","end_date":"2018-07-20","payment_type":"2","area":"\u88d5\u534e\u533a","type":"\u5468\u7ed3"},{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150","end_date":"2026-07-12","payment_type":"3","area":"\u85c1\u57ce\u533a","type":"\u6708\u7ed3"},{"id":"36","title":"\u62db\u8058\u88c1\u5224","wage":"200","end_date":"2018-08-09","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"id":"25","title":"\u62db\u8058\u524d\u53f0","wage":"100","end_date":"2018-07-20","payment_type":"3","area":"\u88d5\u534e\u533a","type":"\u6708\u7ed3"}],"hot":[{"id":"25","title":"\u62db\u8058\u524d\u53f0","wage":"100"},{"id":"36","title":"\u62db\u8058\u88c1\u5224","wage":"200"}]}}###{"city":"130100","position":"1"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-07-19 22:03:57###{"position":"1","userid":"25"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"position":"1","userid":"25"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-19 22:03:59###{"lng":"114.54623","lat":"38.038315"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u4e2d\u65b9\u5546\u52a1"}}###{"lng":"114.54623","lat":"38.038315"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-19 22:03:59###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054323.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060833.jpg","linkurl":""}],"recommend":[{"id":"47","title":"\u62db\u53d1\u5355\u5ba3\u4f20","wage":"80","end_date":"2018-07-20","payment_type":"2","area":"\u88d5\u534e\u533a","type":"\u5468\u7ed3"},{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150","end_date":"2026-07-12","payment_type":"3","area":"\u85c1\u57ce\u533a","type":"\u6708\u7ed3"},{"id":"36","title":"\u62db\u8058\u88c1\u5224","wage":"200","end_date":"2018-08-09","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"id":"25","title":"\u62db\u8058\u524d\u53f0","wage":"100","end_date":"2018-07-20","payment_type":"3","area":"\u88d5\u534e\u533a","type":"\u6708\u7ed3"}],"hot":[{"id":"25","title":"\u62db\u8058\u524d\u53f0","wage":"100"},{"id":"36","title":"\u62db\u8058\u88c1\u5224","wage":"200"}]}}###{"city":"130100","position":"1"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-07-19 22:04:00###{"position":"1","userid":"25"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"position":"1","userid":"25"}###null###null###null###null
Index/location###5b21fee04cd72###2018-07-19 22:04:01###{"lng":"114.54623","lat":"38.038315"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u4e2d\u65b9\u5546\u52a1"}}###{"lng":"114.54623","lat":"38.038315"}###null###null###null###null
Index/index###5b1781ee5e479###2018-07-19 22:04:02###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054323.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060833.jpg","linkurl":""}],"recommend":[{"id":"47","title":"\u62db\u53d1\u5355\u5ba3\u4f20","wage":"80","end_date":"2018-07-20","payment_type":"2","area":"\u88d5\u534e\u533a","type":"\u5468\u7ed3"},{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150","end_date":"2026-07-12","payment_type":"3","area":"\u85c1\u57ce\u533a","type":"\u6708\u7ed3"},{"id":"36","title":"\u62db\u8058\u88c1\u5224","wage":"200","end_date":"2018-08-09","payment_type":"1","area":"\u88d5\u534e\u533a","type":"\u65e5\u7ed3"},{"id":"25","title":"\u62db\u8058\u524d\u53f0","wage":"100","end_date":"2018-07-20","payment_type":"3","area":"\u88d5\u534e\u533a","type":"\u6708\u7ed3"}],"hot":[{"id":"25","title":"\u62db\u8058\u524d\u53f0","wage":"100"},{"id":"36","title":"\u62db\u8058\u88c1\u5224","wage":"200"}]}}###{"city":"130100","position":"1"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-07-19 22:04:02###{"position":"1","userid":"25"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"position":"1","userid":"25"}###null###null###null###null
