User/index###5b1754d09398f###2018-09-10 13:55:39###{"code":"023QdbqT0EwzNX1BO0sT08PtqT0QdbqQ"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"userid":"305","position":1,"person":0,"company":0}}###{"code":"023QdbqT0EwzNX1BO0sT08PtqT0QdbqQ"}###null###null###null###null
User/getinfo###5b2dbbb04457b###2018-09-10 13:56:06###{"userid":"305","username":"\ue329","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/brKiaJxww9lbqkJiazcXQVk8mbcjp0hzEFG6ibHoqG7ESibllwVztKzHKneNL8z9K1ppKf569P5lvhwGp1kcJV4dEA\/132"}###null###null###V2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":"\u83b7\u53d6\u6210\u529f"}###{"userid":"305","username":"\ue329","userphoto":"https:\/\/wx.qlogo.cn\/mmopen\/vi_32\/brKiaJxww9lbqkJiazcXQVk8mbcjp0hzEFG6ibHoqG7ESibllwVztKzHKneNL8z9K1ppKf569P5lvhwGp1kcJV4dEA\/132"}###null###null###null###null
Index/location###5b21fee04cd72###2018-09-10 13:56:09###{"lng":"114.546951","lat":"37.993572"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u51e4\u51f0\u57ce\u00b7\u68a7\u6850\u82d1\u5357\u533a"}}###{"lng":"114.546951","lat":"37.993572"}###null###null###null###null
Index/index###5b1781ee5e479###2018-09-10 13:56:10###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054323.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060833.jpg","linkurl":""}],"recommend":[{"id":"49","title":"\u53d1\u5355\u5458","wage":"60","end_date":"2021-07-26","payment_type":"2","area":"\u88d5\u534e\u533a","type":"\u5468\u7ed3"},{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150","end_date":"2026-07-12","payment_type":"3","area":"\u85c1\u57ce\u533a","type":"\u6708\u7ed3"}],"hot":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150"},{"id":"49","title":"\u53d1\u5355\u5458","wage":"60"}]}}###{"city":"130100","position":"1"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-09-10 13:56:13###{"position":"1","userid":"305"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"position":"1","userid":"305"}###null###null###null###null
Index/location###5b21fee04cd72###2018-09-10 13:56:28###{"lng":"114.546786","lat":"37.993567"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u51e4\u51f0\u57ce\u00b7\u68a7\u6850\u82d1\u5357\u533a"}}###{"lng":"114.546786","lat":"37.993567"}###null###null###null###null
Index/index###5b1781ee5e479###2018-09-10 13:56:29###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054323.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060833.jpg","linkurl":""}],"recommend":[{"id":"49","title":"\u53d1\u5355\u5458","wage":"60","end_date":"2021-07-26","payment_type":"2","area":"\u88d5\u534e\u533a","type":"\u5468\u7ed3"},{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150","end_date":"2026-07-12","payment_type":"3","area":"\u85c1\u57ce\u533a","type":"\u6708\u7ed3"}],"hot":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150"},{"id":"49","title":"\u53d1\u5355\u5458","wage":"60"}]}}###{"city":"130100","position":"1"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-09-10 13:56:29###{"position":"1","userid":"305"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"position":"1","userid":"305"}###null###null###null###null
Index/location###5b21fee04cd72###2018-09-10 13:56:31###{"lng":"114.546813","lat":"37.993567"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u51e4\u51f0\u57ce\u00b7\u68a7\u6850\u82d1\u5357\u533a"}}###{"lng":"114.546813","lat":"37.993567"}###null###null###null###null
Index/index###5b1781ee5e479###2018-09-10 13:56:32###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054323.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060833.jpg","linkurl":""}],"recommend":[{"id":"49","title":"\u53d1\u5355\u5458","wage":"60","end_date":"2021-07-26","payment_type":"2","area":"\u88d5\u534e\u533a","type":"\u5468\u7ed3"},{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150","end_date":"2026-07-12","payment_type":"3","area":"\u85c1\u57ce\u533a","type":"\u6708\u7ed3"}],"hot":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150"},{"id":"49","title":"\u53d1\u5355\u5458","wage":"60"}]}}###{"city":"130100","position":"1"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-09-10 13:56:39###{"position":"1","userid":"305"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"position":"1","userid":"305"}###null###null###null###null
Index/location###5b21fee04cd72###2018-09-10 13:56:43###{"lng":"114.546832","lat":"37.993567"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u51e4\u51f0\u57ce\u00b7\u68a7\u6850\u82d1\u5357\u533a"}}###{"lng":"114.546832","lat":"37.993567"}###null###null###null###null
Index/index###5b1781ee5e479###2018-09-10 13:56:43###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054323.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060833.jpg","linkurl":""}],"recommend":[{"id":"49","title":"\u53d1\u5355\u5458","wage":"60","end_date":"2021-07-26","payment_type":"2","area":"\u88d5\u534e\u533a","type":"\u5468\u7ed3"},{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150","end_date":"2026-07-12","payment_type":"3","area":"\u85c1\u57ce\u533a","type":"\u6708\u7ed3"}],"hot":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150"},{"id":"49","title":"\u53d1\u5355\u5458","wage":"60"}]}}###{"city":"130100","position":"1"}###null###null###null###null
Personcenter/getusername###5b3042c03d6ef###2018-09-10 13:59:44###{"position":"1","userid":"305"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[]}###{"position":"1","userid":"305"}###null###null###null###null
Index/location###5b21fee04cd72###2018-09-10 13:59:48###{"lng":"114.546837","lat":"37.993567"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"city":"130100","location":"\u51e4\u51f0\u57ce\u00b7\u68a7\u6850\u82d1\u5357\u533a"}}###{"lng":"114.546837","lat":"37.993567"}###null###null###null###null
Index/index###5b1781ee5e479###2018-09-10 13:59:49###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":{"lunbo":[{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706054323.jpg","linkurl":""},{"photo":"https:\/\/san.keyitongxin.com\/Public\/uploads\/ads\/20180706060833.jpg","linkurl":""}],"recommend":[{"id":"49","title":"\u53d1\u5355\u5458","wage":"60","end_date":"2021-07-26","payment_type":"2","area":"\u88d5\u534e\u533a","type":"\u5468\u7ed3"},{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150","end_date":"2026-07-12","payment_type":"3","area":"\u85c1\u57ce\u533a","type":"\u6708\u7ed3"}],"hot":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150"},{"id":"49","title":"\u53d1\u5355\u5458","wage":"60"}]}}###{"city":"130100","position":"1"}###null###null###null###null
Index/hot###5b179fa37ad75###2018-09-10 13:59:51###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150"},{"id":"49","title":"\u53d1\u5355\u5458","wage":"60"}]}###{"city":"130100","position":"1"}###null###null###null###null
Index/hot###5b179fa37ad75###2018-09-10 13:59:53###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150"},{"id":"49","title":"\u53d1\u5355\u5458","wage":"60"}]}###{"city":"130100","position":"1"}###null###null###null###null
Index/hot###5b179fa37ad75###2018-09-10 13:59:54###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150"},{"id":"49","title":"\u53d1\u5355\u5458","wage":"60"}]}###{"city":"130100","position":"1"}###null###null###null###null
Index/hot###5b179fa37ad75###2018-09-10 13:59:54###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150"},{"id":"49","title":"\u53d1\u5355\u5458","wage":"60"}]}###{"city":"130100","position":"1"}###null###null###null###null
Index/hot###5b179fa37ad75###2018-09-10 13:59:55###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150"},{"id":"49","title":"\u53d1\u5355\u5458","wage":"60"}]}###{"city":"130100","position":"1"}###null###null###null###null
Index/hot###5b179fa37ad75###2018-09-10 13:59:55###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150"},{"id":"49","title":"\u53d1\u5355\u5458","wage":"60"}]}###{"city":"130100","position":"1"}###null###null###null###null
Index/hot###5b179fa37ad75###2018-09-10 13:59:55###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150"},{"id":"49","title":"\u53d1\u5355\u5458","wage":"60"}]}###{"city":"130100","position":"1"}###null###null###null###null
Index/hot###5b179fa37ad75###2018-09-10 13:59:56###{"city":"130100","position":"1"}###null###null###v2.0###null######{"code":1,"msg":"\u64cd\u4f5c\u6210\u529f","data":[{"id":"44","title":"\u62db\u7f1d\u7eab\u5de5","wage":"150"},{"id":"49","title":"\u53d1\u5355\u5458","wage":"60"}]}###{"city":"130100","position":"1"}###null###null###null###null
